"CASE_ID"	"close_dt"	"start_dt"	"duration"
"134"	32731	2016-07-01	2011-09-01	1765
"135"	32754	2017-04-01	2009-03-01	2953
"136"	32790	2017-04-01	2012-01-01	1917
"137"	32801	2017-04-01	2009-05-01	2892
"138"	32809	2016-11-01	2009-01-01	2861
"139"	32839	2016-05-01	2008-01-01	3043
"140"	32902	2017-04-01	2009-06-01	2861
"141"	32945	2017-04-01	2009-07-01	2831
"142"	32961	2016-11-01	2009-07-01	2680
"143"	32980	2016-09-01	2016-07-01	62
"144"	32993	2017-04-01	2009-07-01	2831
"145"	33098	2017-04-01	2009-08-01	2800
"146"	33101	2017-04-01	2009-08-01	2800
"147"	33102	2016-09-01	2009-08-01	2588
"148"	33135	2017-04-01	2009-08-01	2800
"149"	33138	2017-04-01	2009-08-01	2800
"150"	33139	2017-04-01	2009-08-01	2800
"151"	33170	2016-06-01	2009-08-01	2496
"152"	33197	2016-12-01	2009-09-01	2648
"153"	33255	2017-04-01	2009-09-01	2769
"154"	33268	2017-04-01	2009-09-01	2769
"155"	33274	2017-04-01	2009-09-01	2769
"156"	33289	2016-07-01	2009-09-01	2495
"157"	33301	2017-04-01	2009-09-01	2769
"158"	33339	2017-04-01	2009-09-01	2769
"159"	33342	2017-04-01	2009-09-01	2769
"160"	33349	2017-04-01	2009-09-01	2769
"161"	33366	2017-04-01	2016-04-01	365
"162"	33405	2017-04-01	2015-09-01	578
"163"	33410	2017-04-01	2009-10-01	2739
"164"	33413	2016-10-01	2012-02-01	1704
"165"	33453	2017-04-01	2009-10-01	2739
"166"	33472	2017-04-01	2009-11-01	2708
"167"	33514	2017-04-01	2009-11-01	2708
"168"	33598	2016-05-01	2016-02-01	90
"169"	33624	2017-04-01	2009-12-01	2678
"170"	33648	2017-04-01	2009-12-01	2678
"171"	33651	2016-12-01	2009-12-01	2557
"172"	33671	2017-04-01	2011-09-01	2039
"173"	33673	2017-04-01	2010-01-01	2647
"174"	33692	2017-04-01	2009-07-01	2831
"175"	33693	2016-05-01	2010-01-01	2312
"176"	33700	2016-07-01	2010-01-01	2373
"177"	33724	2016-08-01	2010-01-01	2404
"178"	33771	2016-12-01	2010-01-01	2526
"179"	33809	2016-12-01	2010-02-01	2495
"180"	33820	2016-07-01	2016-02-01	151
"181"	33824	2017-04-01	2010-02-01	2616
"182"	33841	2016-12-01	2010-02-01	2495
"183"	33876	2016-10-01	2010-02-01	2434
"184"	33902	2016-08-01	2010-03-01	2345
"185"	33904	2017-04-01	2010-03-01	2588
"186"	33941	2017-04-01	2010-03-01	2588
"187"	33950	2017-04-01	2010-03-01	2588
"188"	33958	2017-04-01	2010-03-01	2588
"189"	34021	2017-01-01	2010-04-01	2467
"190"	34082	2017-04-01	2010-04-01	2557
"191"	34126	2017-04-01	2010-04-01	2557
"192"	34145	2016-12-01	2010-05-01	2406
"193"	34154	2017-04-01	2016-03-01	396
"194"	34155	2017-04-01	2010-05-01	2527
"195"	34193	2016-12-01	2010-05-01	2406
"196"	34279	2017-04-01	2010-05-01	2527
"197"	34312	2017-04-01	2010-05-01	2527
"198"	34319	2017-04-01	2016-10-01	182
"199"	34341	2016-12-01	2010-05-01	2406
"200"	34622	2017-04-01	2004-04-01	4748
"201"	34771	2017-04-01	2010-06-01	2496
"202"	34779	2017-04-01	2010-06-01	2496
"203"	34815	2017-04-01	2010-06-01	2496
"204"	34842	2017-04-01	2010-06-01	2496
"205"	34851	2016-10-01	2016-09-01	30
"206"	34866	2017-04-01	2010-07-01	2466
"207"	34868	2016-12-01	2010-07-01	2345
"208"	34871	2017-04-01	2016-08-01	243
"209"	34889	2016-10-01	2010-07-01	2284
"210"	34896	2017-04-01	2010-07-01	2466
"211"	34902	2017-04-01	2010-07-01	2466
"212"	34933	2017-04-01	2013-12-01	1217
"213"	34938	2016-05-01	2010-07-01	2131
"214"	35045	2017-04-01	2016-05-01	335
"215"	35070	2016-03-01	2008-03-01	2922
"216"	35095	2017-04-01	2009-07-01	2831
"217"	35137	2017-04-01	2010-08-01	2435
"218"	35211	2016-04-01	2010-08-01	2070
"219"	35279	2016-12-01	2010-09-01	2283
"220"	35292	2017-04-01	2016-10-01	182
"221"	35343	2017-04-01	2014-10-01	913
"222"	35460	2017-04-01	2016-07-01	274
"223"	35475	2017-04-01	2010-11-01	2343
"224"	35485	2016-07-01	2010-11-01	2069
"225"	35486	2017-04-01	2010-11-01	2343
"226"	35495	2016-01-01	2010-11-01	1887
"227"	36008	2016-02-01	2016-01-01	31
"228"	36714	2017-04-01	2009-01-01	3012
"229"	37967	2017-04-01	2012-12-01	1582
"230"	38507	2017-04-01	2010-07-01	2466
"231"	39033	2017-04-01	2003-09-01	4961
"232"	39138	2017-04-01	2004-03-01	4779
"233"	39146	2017-04-01	2005-04-01	4383
"234"	39179	2017-04-01	2004-07-01	4657
"235"	39962	2017-04-01	2007-05-01	3623
"236"	40541	2017-04-01	2016-07-01	274
"237"	40747	2017-04-01	2010-10-01	2374
"238"	41622	2017-04-01	2012-04-01	1826
"239"	41785	2016-08-01	2004-11-01	4291
"240"	42009	2017-04-01	2016-01-01	456
"241"	42049	2016-02-01	2008-07-01	2771
"242"	42175	2017-04-01	2016-08-01	243
"243"	43069	2017-04-01	2007-04-01	3653
"244"	43283	2017-04-01	2016-05-01	335
"245"	47057	2017-04-01	2010-12-01	2313
"246"	47089	2017-04-01	2010-12-01	2313
"247"	47106	2016-10-01	2010-12-01	2131
"248"	47149	2017-04-01	2011-01-01	2282
"249"	47157	2017-04-01	2011-01-01	2282
"250"	47220	2017-04-01	2016-05-01	335
"251"	47253	2017-04-01	2011-01-01	2282
"252"	47271	2016-04-01	2011-01-01	1917
"253"	47289	2017-04-01	2011-02-01	2251
"254"	47530	2017-04-01	2011-02-01	2251
"255"	47536	2017-04-01	2011-02-01	2251
"256"	47572	2017-04-01	2016-11-01	151
"257"	47573	2016-06-01	2012-09-01	1369
"258"	47590	2017-04-01	2011-02-01	2251
"259"	47592	2017-04-01	2011-02-01	2251
"260"	47653	2017-04-01	2011-03-01	2223
"261"	47655	2016-10-01	2015-09-01	396
"262"	47678	2017-04-01	2011-03-01	2223
"263"	47740	2016-09-01	2011-03-01	2011
"264"	47767	2016-08-01	2011-03-01	1980
"265"	47775	2016-11-01	2011-03-01	2072
"266"	47804	2017-04-01	2016-10-01	182
"267"	47829	2016-09-01	2009-02-01	2769
"268"	48227	2017-04-01	2010-02-01	2616
"269"	48241	2017-04-01	2010-02-01	2616
"270"	48256	2016-06-01	2009-08-01	2496
"271"	48289	2017-04-01	2016-09-01	212
"272"	48296	2017-04-01	2016-05-01	335
"273"	48337	2017-04-01	2011-02-01	2251
"274"	48361	2017-01-01	2009-04-01	2832
"275"	48366	2016-04-01	2008-05-01	2892
"276"	48398	2017-04-01	2009-05-01	2892
"277"	48433	2017-04-01	2009-03-01	2953
"278"	48475	2017-04-01	2009-04-01	2922
"279"	48488	2017-04-01	2009-11-01	2708
"280"	48526	2017-04-01	2011-01-01	2282
"281"	48532	2017-04-01	2010-03-01	2588
"282"	48539	2017-04-01	2009-02-01	2981
"283"	48555	2016-08-01	2008-09-01	2891
"284"	48565	2016-05-01	2009-03-01	2618
"285"	48613	2017-01-01	2010-02-01	2526
"286"	48665	2017-04-01	2009-06-01	2861
"287"	48717	2017-04-01	2009-04-01	2922
"288"	48721	2016-05-01	2011-01-01	1947
"289"	48753	2016-12-01	2008-08-01	3044
"290"	48756	2017-04-01	2009-12-01	2678
"291"	48776	2016-03-01	2009-05-01	2496
"292"	48782	2016-12-01	2010-04-01	2436
"293"	48805	2017-04-01	2013-04-01	1461
"294"	48810	2017-04-01	2008-07-01	3196
"295"	48817	2016-11-01	2008-11-01	2922
"296"	48820	2016-08-01	2008-10-01	2861
"297"	48828	2017-04-01	2010-12-01	2313
"298"	48851	2017-04-01	2016-12-01	121
"299"	48879	2017-01-01	2009-09-01	2679
"300"	48947	2017-01-01	2007-08-01	3441
"301"	49016	2017-04-01	2015-12-01	487
"302"	49055	2016-06-01	2009-05-01	2588
"303"	49081	2016-09-01	2008-04-01	3075
"304"	49086	2017-04-01	2008-10-01	3104
