CASE_ID,ACHA,AIU_CHILD,AIU_PARENT,CYF_KPL,CYF_PL_O,DA,DPW_FS,DPW_GA,DPW_SSI,DPW_TANF,EI,FSC,HACP,HH,IL_CHILD,JPO,JPO_CHILD,JPO_KPL,JPO_PL_O,MH,ID,nClose,Duration,place_Y
30779,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,0,0,0,0,-1,0,3,92,F
30788,0,0,0,0,1,1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,3,62,F
30869,0,0,0,-1,-1,-1,-1,-1,1,0,-1,0,0,0,1,0,0,0,0,-1,-1,5,62,F
30901,1,0,0,0,-1,0,-1,0,-1,-1,-1,1,0,-1,0,0,0,0,0,-1,0,2,30,F
30902,-1,0,0,0,-1,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,-1,0,2,245,F
30905,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,2,0,F
30943,-1,0,0,0,-1,-1,1,-1,-1,-1,0,-1,0,1,0,0,0,0,0,-1,0,6,0,F
30990,-1,0,0,-1,0,-1,1,0,-1,-1,0,-1,0,1,0,0,1,0,0,1,-1,6,245,F
31041,-1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,2,92,F
31052,0,0,0,0,-1,1,1,0,0,0,-1,0,1,0,0,-1,0,0,-1,1,0,2,31,F
31053,0,0,0,0,-1,1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,6,397,F
31119,0,-1,0,1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,3,92,T
31188,0,0,0,0,0,1,1,-1,1,1,0,1,1,-1,0,0,0,0,-1,1,0,3,397,F
31197,0,0,0,0,-1,-1,1,-1,1,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,2,245,F
31209,-1,0,0,1,0,-1,-1,0,1,-1,1,-1,1,0,0,0,0,0,0,1,0,4,276,T
31219,0,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,2,62,F
31258,-1,0,0,0,0,-1,1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,1,0,4,276,F
31285,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,3,243,F
31314,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0,1,0,-1,0,0,-1,-1,0,3,153,F
31316,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,0,2,91,F
31339,0,0,0,0,-1,-1,1,0,-1,-1,0,0,1,0,0,-1,0,0,-1,-1,0,3,31,F
31341,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,1,0,0,0,0,0,0,1,0,4,153,F
31368,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,4,245,F
31520,0,0,0,1,-1,1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,2,397,T
31523,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,3,153,F
