"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration","duration2"
30701,FALSE,TRUE,TRUE,TRUE,FALSE,2,30,30
30737,TRUE,TRUE,TRUE,FALSE,FALSE,4,215,NA
30743,FALSE,TRUE,TRUE,TRUE,FALSE,3,123,NA
30747,FALSE,TRUE,TRUE,TRUE,FALSE,6,92,NA
30772,FALSE,FALSE,TRUE,FALSE,FALSE,3,31,31
30779,TRUE,TRUE,TRUE,TRUE,TRUE,3,92,NA
30788,FALSE,FALSE,TRUE,TRUE,TRUE,3,62,NA
30869,TRUE,FALSE,TRUE,FALSE,FALSE,5,62,NA
30901,TRUE,TRUE,TRUE,FALSE,FALSE,2,30,30
30902,TRUE,TRUE,TRUE,FALSE,FALSE,2,245,NA
30905,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,0
30943,TRUE,TRUE,TRUE,TRUE,FALSE,6,0,0
30990,TRUE,TRUE,TRUE,TRUE,FALSE,6,245,NA
31041,FALSE,TRUE,TRUE,TRUE,FALSE,2,92,NA
31052,TRUE,FALSE,FALSE,FALSE,FALSE,2,31,31
31053,TRUE,FALSE,TRUE,FALSE,FALSE,6,397,NA
31119,TRUE,TRUE,TRUE,TRUE,TRUE,3,92,NA
31188,FALSE,TRUE,TRUE,FALSE,FALSE,3,397,NA
31197,TRUE,TRUE,TRUE,FALSE,TRUE,2,245,NA
31209,FALSE,TRUE,TRUE,TRUE,TRUE,4,276,NA
31219,FALSE,FALSE,TRUE,TRUE,FALSE,2,62,62
31258,FALSE,TRUE,TRUE,TRUE,FALSE,4,276,NA
31285,TRUE,FALSE,TRUE,FALSE,FALSE,3,243,243
31314,TRUE,FALSE,TRUE,TRUE,TRUE,3,153,153
31316,TRUE,TRUE,TRUE,FALSE,FALSE,2,91,91
31339,TRUE,FALSE,TRUE,FALSE,TRUE,3,31,31
31341,TRUE,FALSE,TRUE,TRUE,FALSE,4,153,153
31368,TRUE,TRUE,TRUE,TRUE,FALSE,4,245,NA
31520,TRUE,FALSE,TRUE,TRUE,TRUE,2,397,NA
31523,FALSE,TRUE,TRUE,FALSE,FALSE,3,153,NA
31524,TRUE,FALSE,TRUE,TRUE,TRUE,3,62,NA
31540,TRUE,TRUE,TRUE,TRUE,TRUE,4,30,30
31600,FALSE,TRUE,TRUE,TRUE,FALSE,5,276,NA
31610,TRUE,TRUE,TRUE,TRUE,TRUE,6,123,NA
31652,TRUE,FALSE,TRUE,TRUE,FALSE,3,276,NA
31659,FALSE,TRUE,TRUE,FALSE,FALSE,2,31,31
31661,TRUE,FALSE,TRUE,FALSE,TRUE,2,153,NA
31683,TRUE,TRUE,TRUE,FALSE,FALSE,3,153,153
